SIGLA,NO_ENTIDADE,REDE,NU_PARTICIPANTES,MEDIA_CN,MEDIA_CH,MEDIA_MT,MEDIA_LC,MEDIA_REDACAO,MEDIA_GERAL, TAXA ,,,,,,,,,,,
AL,COLEGIO IMACULADA CONCEICAO,PRIVADA,15,522.07,578.89,529.77,561.49,640,548.06,68.2,TRUE,27045153,AL,COLEGIO IMACULADA CONCEICAO,private,578.89,522.07,561.49,529.77,548.06,22
AL,COLEGIO INTENSIVO SISTEMA DE ENSINO LTDA,PRIVADA,69,512.29,556.83,546.68,541.07,612.87,539.22,52.3,TRUE,27226620,AL,COLEGIO INTENSIVO SISTEMA DE ENSINO LTDA,private,556.83,512.29,541.07,546.68,539.22,132
AL,COLEGIO INTERATIVO,PRIVADA,12,503.6,564.61,496.13,516.07,668.75,520.1,27.3,TRUE,27321029,AL,COLEGIO INTERATIVO,private,564.61,503.6,516.07,496.13,520.1,44
AL,COLEGIO JOSE CORREIA VIANNA,PRIVADA,15,475.51,544.13,523.17,522.99,619.64,516.45,42.9,TRUE,27024075,AL,COLEGIO JOSE CORREIA VIANNA,private,544.13,475.51,522.99,523.17,516.45,35
AL,COLEGIO LOGOS,PRIVADA,22,464.71,524.49,474.76,484.48,596.59,487.11,66.7,TRUE,27014053,AL,COLEGIO LOGOS,private,524.49,464.71,484.48,474.76,487.11,33
AL,COLEGIO MARECHAL FLORIANO PEIXOTO,PRIVADA,55,443.56,487.11,453.93,475.12,566.35,464.93,100,TRUE,27036766,AL,COLEGIO MARECHAL FLORIANO PEIXOTO,private,487.11,443.56,475.12,453.93,464.93,55
AL,COLEGIO MARIA MONTESSORI,PRIVADA,37,584.79,640.5,643.02,585.1,721.62,613.35,52.9,TRUE,27226115,AL,COLEGIO MARIA MONTESSORI,private,640.5,584.79,585.1,643.02,613.35,70
AL,COLEGIO MARISTA DE MACEIO,PRIVADA,61,555.8,615.22,618.96,577.86,697.08,591.96,75.3,TRUE,27034895,AL,COLEGIO MARISTA DE MACEIO,private,615.22,555.8,577.86,618.96,591.96,81
AL,COLEGIO MONSENHOR LUIS BARBOSA,PRIVADA,13,499.14,532.25,555.52,501.41,598.08,522.08,48.1,TRUE,27034909,AL,COLEGIO MONSENHOR LUIS BARBOSA,private,532.25,499.14,501.41,555.52,522.08,27
AL,COLEGIO NORMAL SAO FRANCISCO DE ASSIS,PRIVADA,37,521.3,590.64,589.19,562.7,625,565.96,66.1,TRUE,27016030,AL,COLEGIO NORMAL SAO FRANCISCO DE ASSIS,private,590.64,521.3,562.7,589.19,565.96,56
AL,COLEGIO NOSSA SENHORA DA CONCEICAO APARECIDA,PRIVADA,30,503.41,562.59,537.35,535.8,650.86,534.79,61.2,TRUE,27225984,AL,COLEGIO NOSSA SENHORA DA CONCEICAO APARECIDA,private,562.59,503.41,535.8,537.35,534.79,49
AL,COLEGIO NOSSA SENHORA ROSA MISTICA,PRIVADA,76,526.85,594.32,578.98,549.81,678.67,562.49,67.9,TRUE,27016439,AL,COLEGIO NOSSA SENHORA ROSA MISTICA,private,594.32,526.85,549.81,578.98,562.49,112
AL,COLEGIO NUNILA MACHADO -ROSAL,PRIVADA,21,511.78,575,533.25,560.11,619.05,545.04,75,TRUE,27043592,AL,COLEGIO NUNILA MACHADO -ROSAL,private,575,511.78,560.11,533.25,545.04,28
AL,COLEGIO OBJETIVO,PRIVADA,13,541.9,592.01,584.62,566.83,626.92,571.34,59.1,TRUE,27223361,AL,COLEGIO OBJETIVO,private,592.01,541.9,566.83,584.62,571.34,22
AL,COLEGIO PONTUAL - UNIDADE PONTA VERDE,PRIVADA,30,508.44,580.38,522.4,558.98,607.5,542.55,81.1,TRUE,27226689,AL,COLEGIO PONTUAL - UNIDADE PONTA VERDE,private,580.38,508.44,558.98,522.4,542.55,37
AL,COLEGIO PONTUAL UNIDADE FAROL,PRIVADA,65,517.68,570.69,536.88,548.49,666.13,543.44,69.9,TRUE,27225178,AL,COLEGIO PONTUAL UNIDADE FAROL,private,570.69,517.68,548.49,536.88,543.44,93
AL,COLEGIO PROF D0MINGOS RODRIGUES,PRIVADA,20,528.87,581.37,576.81,552.61,652.5,559.91,55.6,TRUE,27017028,AL,COLEGIO PROF D0MINGOS RODRIGUES,private,581.37,528.87,552.61,576.81,559.91,36
AL,COLEGIO ROSALVO RIBEIRO DOS SANTOS,PRIVADA,46,483.97,542.85,524.32,502.98,651.16,513.53,63,TRUE,27230015,AL,COLEGIO ROSALVO RIBEIRO DOS SANTOS,private,542.85,483.97,502.98,524.32,513.53,73
AL,COLEGIO SAGRADA FAMILIA,PRIVADA,20,441.24,516.45,477.7,485.94,576.39,480.33,69,TRUE,27014940,AL,COLEGIO SAGRADA FAMILIA,private,516.45,441.24,485.94,477.7,480.33,29
AL,COLEGIO SANTA AMELIA,PRIVADA,24,514.87,558.31,576.93,542.91,641.67,548.25,43.6,TRUE,27326012,AL,COLEGIO SANTA AMELIA,private,558.31,514.87,542.91,576.93,548.25,55
